time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447650000	20.1326	10.0496	4.69357	1.27053	0.415493	radar	7.42009	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1759	10.3379	4.80174	1.31662	0.446693	lidar	1.14503	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1917	10.5721	4.72868	1.3668	0.494853	radar	2.74439	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2462	10.8561	4.83196	1.39912	0.504336	lidar	2.17135	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2732	11.1196	4.89918	1.42999	0.505389	radar	4.87308	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3079	11.3569	4.88944	1.45268	0.502332	lidar	0.0099621	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2523	11.6043	4.78127	1.53436	0.601524	radar	9.94372	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3248	11.8405	4.78066	1.53624	0.568533	lidar	5.03872	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3517	12.0768	4.85569	1.53591	0.506414	radar	4.01699	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3341	12.3746	4.96928	1.57757	0.52543	lidar	0.972908	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2833	12.6115	4.88342	1.63845	0.591637	radar	2.90851	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3113	12.8441	4.85442	1.64729	0.567677	lidar	2.03266	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3017	13.0713	4.81861	1.67029	0.562947	radar	2.10668	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2693	13.2768	4.75062	1.698	0.562362	lidar	0.945704	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2322	13.5109	4.76892	1.72179	0.548407	radar	1.32956	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
